"vin","departed_at","arrived_at","idle_time","departure_coordinates","arrival_coordinates","departure_fuel","arrival_fuel","departure_interior","arrival_interior","trip_id","estimated_distance","estimated_duration","polyline"
"WMEEJ3BA0DK683985",1448324401,1448325601,11400,"0101000020E610000092054CE0D6FD4340809A5AB6D6BF54C0","0101000020E6100000DAC9E02879FD434035D252793BC054C0",72,72,"GOOD","GOOD",14504,"0.6 mi","4 mins","[[[39.9802649,-83.0035922],[39.9808847,-83.0037282]],[[39.9808847,-83.0037282],[39.980617,-82.9971815]],[[39.980617,-82.9971815],[39.9831157,-82.9975161]]]"
"WMEEJ3BA0DK658875",1448292301,1448294101,11100,"0101000020E61000007311DF8959FB434043C5387F13C054C0","0101000020E6100000711B0DE02D0044409F02603C83BA54C0",87,84,"GOOD","UNACCEPTABLE",14498,"6.4 mi","10 mins","[[[40.0013226,-82.9128925],[40.0000108,-82.9130153]],[[40.0000108,-82.9130153],[40.0001001,-82.9146808]],[[40.0001001,-82.9146808],[40.0021092,-82.9228567]],[[40.0021092,-82.9228567],[39.976975,-82.9931826]],[[39.976975,-82.9931826],[39.9639433,-82.9982486]],[[39.9639433,-82.9982486],[39.963615,-83.00117949999999]]]"
"WMEEJ3BA0DK658875",1448279101,1448281201,33300,"0101000020E61000002EE23B31EBF94340A54E401361BF54C0","0101000020E61000007311DF8959FB434043C5387F13C054C0",87,87,"UNACCEPTABLE","GOOD",14497,"1.3 mi","6 mins","[[[39.963615,-83.00117949999999],[39.963545,-83.00180619999999]],[[39.963545,-83.00180619999999],[39.9621263,-83.00154909999999]],[[39.9621263,-83.00154909999999],[39.9625243,-82.9979602]],[[39.9625243,-82.9979602],[39.9536025,-82.9962426]],[[39.9536025,-82.9962426],[39.95279439999999,-82.9960918]],[[39.95279439999999,-82.9960918],[39.9527435,-82.9949056]],[[39.9527435,-82.9949056],[39.9525183,-82.99029879999999]]]"
"WMEEJ3BA0DK659671",1448481901,1448484901,244200,"0101000020E6100000C0098508380044405F24B4E55CC254C0","0101000020E6100000FB3A70CE88024440B0FECF61BEC054C0",100,100,"GOOD","GOOD",14500,"3.1 mi","10 mins","[[[40.0197505,-83.0116105],[40.0196163,-83.01268739999999]],[[40.0196163,-83.01268739999999],[40.0173728,-83.01210329999999]],[[40.0173728,-83.01210329999999],[40.0173576,-83.0142621]],[[40.0173576,-83.0142621],[40.0163591,-83.0140128]],[[40.0163591,-83.0140128],[40.0162886,-83.0223369]],[[40.0162886,-83.0223369],[40.0187347,-83.0380869]],[[40.0187347,-83.0380869],[40.0033839,-83.0343214]],[[40.0033839,-83.0343214],[40.00239639999999,-83.03720129999999]],[[40.00239639999999,-83.03720129999999],[40.0017545,-83.03703030000001]],[[40.0017545,-83.03703030000001],[40.0017491,-83.0369168]]]"
"WMEEJ3BA0DK683985",1448327401,1448328901,1800,"0101000020E6100000DAC9E02879FD434035D252793BC054C0","0101000020E6100000B29DEFA7C60344407E350708E6C054C0",72,69,"GOOD","GOOD",14505,"6.2 mi","12 mins","[[[40.0294329,-83.01404629999999],[40.0291086,-83.0080725]],[[40.0291086,-83.0080725],[40.0314717,-83.007994]],[[40.0314717,-83.007994],[40.0310412,-82.99553739999999]],[[40.0310412,-82.99553739999999],[40.0304854,-82.9952325]],[[40.0304854,-82.9952325],[40.0284156,-82.9943301]],[[40.0284156,-82.9943301],[39.9855249,-82.9852616]],[[39.9855249,-82.9852616],[39.9789622,-82.9893049]],[[39.9789622,-82.9893049],[39.9763682,-82.99440299999999]],[[39.9763682,-82.99440299999999],[39.9786778,-82.9979563]],[[39.9786778,-82.9979563],[39.9806579,-82.9983479]],[[39.9806579,-82.9983479],[39.9808847,-83.0037282]],[[39.9808847,-83.0037282],[39.9802649,-83.0035922]]]"
"WMEEJ3BA0DK684859",1448239201,1448241001,1500,"0101000020E6100000DA38622D3E014440CE88D2DEE0BF54C0","0101000020E6100000E449D23593FF4340E65C8AABCAC054C0",57,54,"GOOD","GOOD",14509,"1.6 mi","7 mins","[[[39.9966968,-83.01236689999999],[39.99644989999999,-82.99896749999999]],[[39.99644989999999,-82.99896749999999],[40.0097077,-82.9980479]]]"
"WMEEJ3BA0DK684859",1448292601,1448293801,600,"0101000020E610000014ED2AA4FCFC434066DAFE9595C054C0","0101000020E6100000EBE2361AC0FF4340DB8AFD65F7C054C0",51,51,"GOOD","GOOD",14514,"1.6 mi","8 mins","[[[39.9980386,-83.0151825],[39.9775827,-83.01116669999999]],[[39.9775827,-83.01116669999999],[39.9773939,-83.0090348]],[[39.9773939,-83.0090348],[39.9764586,-83.00908749999999]]]"
"WMEEJ3BA0DK684859",1448395201,1448397901,6000,"0101000020E61000006397A8DE1A00444025CCB4FD2BC154C0","0101000020E6100000711B0DE02D0044409F02603C83BA54C0",45,39,"GOOD","GOOD",14519,"9.4 mi","15 mins","[[[40.0013226,-82.9128925],[40.0000108,-82.9130153]],[[40.0000108,-82.9130153],[40.0001001,-82.9146808]],[[40.0001001,-82.9146808],[40.0021092,-82.9228567]],[[40.0021092,-82.9228567],[39.973582,-83.0119737]],[[39.973582,-83.0119737],[39.9907695,-83.02512779999999]],[[39.9907695,-83.02512779999999],[39.9922003,-83.0208639]],[[39.9922003,-83.0208639],[40.00416,-83.01967499999999]],[[40.00416,-83.01967499999999],[40.00412,-83.01740579999999]],[[40.00412,-83.01740579999999],[40.0008783,-83.0181317]],[[40.0008783,-83.0181317],[40.0009057,-83.0182837]]]"
"WMEEJ3BA0DK684859",1448301001,1448302201,56700,"0101000020E6100000B9A5D590B8FF43400CCD751A69C154C0","0101000020E6100000711B0DE02D0044409F02603C83BA54C0",51,48,"GOOD","GOOD",14516,"8.6 mi","11 mins","[[[40.0013226,-82.9128925],[40.0000108,-82.9130153]],[[40.0000108,-82.9130153],[40.0001001,-82.9146808]],[[40.0001001,-82.9146808],[40.0021092,-82.9228567]],[[40.0021092,-82.9228567],[39.973582,-83.0119737]],[[39.973582,-83.0119737],[39.9907695,-83.02512779999999]],[[39.9907695,-83.02512779999999],[39.9922003,-83.0208639]],[[39.9922003,-83.0208639],[39.9979101,-83.0222733]],[[39.9979101,-83.0222733],[39.9979285,-83.0220937]],[[39.9979285,-83.0220937],[39.9978168,-83.02205649999999]]]"
"WMEEJ3BA0DK683985",1448361001,1448362801,24300,"0101000020E6100000969526A5A003444070EB6E9EEAC054C0","0101000020E6100000711B0DE02D0044409F02603C83BA54C0",69,63,"UNACCEPTABLE","GOOD",14507,"9.3 mi","14 mins","[[[40.0013226,-82.9128925],[40.0000108,-82.9130153]],[[40.0000108,-82.9130153],[40.0001001,-82.9146808]],[[40.0001001,-82.9146808],[40.0021092,-82.9228567]],[[40.0021092,-82.9228567],[39.97860319999999,-82.97600829999999]],[[39.97860319999999,-82.97600829999999],[39.9861495,-82.9851991]],[[39.9861495,-82.9851991],[40.0208955,-82.9950157]],[[40.0208955,-82.9950157],[40.023165,-82.9943141]],[[40.023165,-82.9943141],[40.0241237,-82.99433239999999]],[[40.0241237,-82.99433239999999],[40.0246753,-83.00746500000001]],[[40.0246753,-83.00746500000001],[40.0283004,-83.0080902]],[[40.0283004,-83.0080902],[40.0285962,-83.01429259999999]],[[40.0285962,-83.01429259999999],[40.0283582,-83.01421940000002]]]"
"WMEEJ3BA0DK684859",1448387401,1448389201,8700,"0101000020E6100000E88711C2A3F94340D2E3F736FDBF54C0","0101000020E61000006397A8DE1A00444025CCB4FD2BC154C0",45,45,"GOOD","GOOD",14518,"5.6 mi","12 mins","[[[40.0009057,-83.0182837],[40.0011224,-83.0185344]],[[40.0011224,-83.0185344],[40.0010607,-83.0181307]],[[40.0010607,-83.0181307],[40.00412,-83.01740579999999]],[[40.00412,-83.01740579999999],[40.00416,-83.01967499999999]],[[40.00416,-83.01967499999999],[39.9959014,-83.0214694]],[[39.9959014,-83.0214694],[39.9531828,-83.0178796]],[[39.9531828,-83.0178796],[39.952227,-83.01164390000001]],[[39.952227,-83.01164390000001],[39.9533825,-83.00457890000001]],[[39.9533825,-83.00457890000001],[39.9528938,-83.0018271]],[[39.9528938,-83.0018271],[39.9527168,-83.0005939]],[[39.9527168,-83.0005939],[39.950866,-83.0002446]],[[39.950866,-83.0002446],[39.9509677,-82.99937229999999]],[[39.9509677,-82.99937229999999],[39.9503773,-82.9992579]],[[39.9503773,-82.9992579],[39.9503057,-82.9998291]]]"
"WMEEJ3BA0DK683985",1448311501,1448313001,6900,"0101000020E6100000C5FEB27BF2004440399CF9D51CC054C0","0101000020E610000092054CE0D6FD4340809A5AB6D6BF54C0",75,72,"GOOD","GOOD",14503,"2.1 mi","7 mins","[[[39.9831157,-82.9975161],[39.9835877,-82.99761219999999]],[[39.9835877,-82.99761219999999],[39.9836436,-82.9989365]],[[39.9836436,-82.9989365],[40.0072046,-82.998224]],[[40.0072046,-82.998224],[40.00732929999999,-83.00063870000001]],[[40.00732929999999,-83.00063870000001],[40.0057092,-83.0007387]],[[40.0057092,-83.0007387],[40.0057423,-83.0018362]],[[40.0057423,-83.0018362],[40.0073984,-83.00172210000001]]]"
"WMEEJ3BA0EK748755",1448313601,1448313901,900,"0101000020E61000007FD93D7958FC4340C32ADEC83CC054C0","0101000020E6100000D5CF9B8A54FC434058A835CD3BC054C0",78,78,"GOOD","GOOD",15102,"0.3 mi","4 mins","[[[39.9714656,-83.00367279999999],[39.9715239,-83.0030879]],[[39.9715239,-83.0030879],[39.9722819,-83.0032656]],[[39.9722819,-83.0032656],[39.9723478,-83.0046172]],[[39.9723478,-83.0046172],[39.9714958,-83.0046337]],[[39.9714958,-83.0046337],[39.9714617,-83.003712]]]"
"WMEEJ3BA0DK684859",1448297701,1448298301,10800,"0101000020E6100000EBE2361AC0FF4340DB8AFD65F7C054C0","0101000020E6100000B9A5D590B8FF43400CCD751A69C154C0",51,51,"GOOD","GOOD",14515,"2.2 mi","9 mins","[[[39.9978168,-83.02205649999999],[39.9979285,-83.0220937]],[[39.9979285,-83.0220937],[39.9979101,-83.0222733]],[[39.9979101,-83.0222733],[40.00416,-83.01967499999999]],[[40.00416,-83.01967499999999],[40.0043049,-83.02969519999999]],[[40.0043049,-83.02969519999999],[39.9974879,-83.01507819999999]],[[39.9974879,-83.01507819999999],[39.9980386,-83.0151825]]]"
"WMEEJ3BA0DK694811",1448421601,1448424901,95700,"0101000020E61000001D38674469FF43408907944DB9C254C0","0101000020E6100000917EFB3A70FA434084640113B8BF54C0",78,75,"GOOD","GOOD",14528,"5.7 mi","14 mins","[[[39.95660549999999,-82.9956211],[39.9566708,-82.9950669]],[[39.9566708,-82.9950669],[39.9761217,-82.9980789]],[[39.9761217,-82.9980789],[39.973582,-83.0119737]],[[39.973582,-83.0119737],[39.9907695,-83.02512779999999]],[[39.9907695,-83.02512779999999],[39.9922003,-83.0208639]],[[39.9922003,-83.0208639],[39.9907085,-83.0205282]],[[39.9907085,-83.0205282],[39.9914761,-83.04052089999999]],[[39.9914761,-83.04052089999999],[39.9949767,-83.04501929999999]],[[39.9949767,-83.04501929999999],[39.9957155,-83.044445]],[[39.9957155,-83.044445],[39.9954238,-83.042557]]]"
"WMEEJ3BA0EK737304",1448292001,1448294401,16500,"0101000020E61000003F575BB1BFFC4340B5FD2B2B4DC054C0","0101000020E610000078B471C45A0044400586AC6EF5C054C0",96,96,"GOOD","GOOD",15005,"4.5 mi","12 mins","[[[40.0027459,-83.01497549999999],[40.0026416,-83.0155576]],[[40.0026416,-83.0155576],[40.0007662,-83.0153701]],[[40.0007662,-83.0153701],[40.000575,-83.01788499999999]],[[40.000575,-83.01788499999999],[40.00412,-83.01740579999999]],[[40.00412,-83.01740579999999],[40.00416,-83.01967499999999]],[[40.00416,-83.01967499999999],[39.9959014,-83.0214694]],[[39.9959014,-83.0214694],[39.9809791,-83.0225071]],[[39.9809791,-83.0225071],[39.9739218,-83.00347359999999]],[[39.9739218,-83.00347359999999],[39.9746893,-83.0011775]],[[39.9746893,-83.0011775],[39.97426,-82.99977539999999]],[[39.97426,-82.99977539999999],[39.97362820000001,-83.0045279]],[[39.97362820000001,-83.0045279],[39.9746071,-83.0046509]]]"
"WMEEJ3BA0EK737304",1448320801,1448322001,24000,"0101000020E610000024287E8CB9FF4340802BD9B111C254C0","0101000020E6100000C93CF20703034440B5A679C729C254C0",93,93,"GOOD","GOOD",15008,"2.6 mi","8 mins","[[[40.0235369,-83.0337995],[40.0229415,-83.0256709]],[[40.0229415,-83.0256709],[39.9974807,-83.0266321]],[[39.9974807,-83.0266321],[39.9976918,-83.03239479999999]],[[39.9976918,-83.03239479999999],[39.9978583,-83.03238449999999]]]"
"WMEEJ3BA0DK694811",1448242201,1448243401,4500,"0101000020E61000007E8CB96B09F943400B98C0ADBBBF54C0","0101000020E61000008716D9CEF7F7434077DB85E63ABF54C0",90,90,"GOOD","GOOD",14520,"1.2 mi","5 mins","[[[39.9372504,-82.98797619999999],[39.9365269,-82.9880343]],[[39.9365269,-82.9880343],[39.9368561,-82.99607139999999]],[[39.9368561,-82.99607139999999],[39.9454737,-82.9973933]],[[39.9454737,-82.9973933],[39.9456539,-82.99584039999999]]]"
"WMEEJ3BA0DK694811",1448314801,1448316301,12600,"0101000020E61000000BEF7211DFFD43403468E89FE0C254C0","0101000020E6100000ECFA05BB61FF43406DFFCA4A93C054C0",87,81,"GOOD","GOOD",14524,"2.8 mi","11 mins","[[[39.9951732,-83.0090709],[39.9947654,-83.00909829999999]],[[39.9947654,-83.00909829999999],[39.99478879999999,-83.00959979999999]],[[39.99478879999999,-83.00959979999999],[39.9903315,-83.0098965]],[[39.9903315,-83.0098965],[39.9916093,-83.0442106]],[[39.9916093,-83.0442106],[39.9833669,-83.04489420000002]]]"
"WMEEJ3BA0DK694811",1448316901,1448318701,600,"0101000020E6100000ECFA05BB61FF43406DFFCA4A93C054C0","0101000020E6100000AA4885B185004440D8648D7A88C054C0",81,81,"GOOD","GOOD",14525,"0.8 mi","5 mins","[[[40.00406,-83.0083312],[40.0040792,-83.0088931]],[[40.0040792,-83.0088931],[39.9952599,-83.0071147]],[[39.9952599,-83.0071147],[39.9953452,-83.0088748]],[[39.9953452,-83.0088748],[39.9947563,-83.0089021]],[[39.9947563,-83.0089021],[39.9947654,-83.00909829999999]],[[39.9947654,-83.00909829999999],[39.9951732,-83.0090709]]]"
"WMEEJ3BA0EK737304",1448294701,1448295601,300,"0101000020E610000078B471C45A0044400586AC6EF5C054C0","0101000020E6100000B9A5D590B8FF43400CCD751A69C154C0",96,96,"GOOD","GOOD",15006,"1.2 mi","7 mins","[[[39.9978168,-83.02205649999999],[39.9979285,-83.0220937]],[[39.9979285,-83.0220937],[39.9979101,-83.0222733]],[[39.9979101,-83.0222733],[40.00416,-83.01967499999999]],[[40.00416,-83.01967499999999],[40.00412,-83.01740579999999]],[[40.00412,-83.01740579999999],[40.0038144,-83.0108989]],[[40.0038144,-83.0108989],[40.0032247,-83.0108166]],[[40.0032247,-83.0108166],[40.0027459,-83.01497549999999]]]"
"WMEEJ3BA0DK694811",1448301301,1448302201,2700,"0101000020E6100000861BF0F961FC4340DFF8DA334BC054C0","0101000020E61000000BEF7211DFFD43403468E89FE0C254C0",87,87,"GOOD","GOOD",14523,"2.7 mi","9 mins","[[[39.9833669,-83.04489420000002],[39.9768056,-83.04539659999999]],[[39.9768056,-83.04539659999999],[39.9735543,-83.01638729999999]],[[39.9735543,-83.01638729999999],[39.9714958,-83.0046337]],[[39.9714958,-83.0046337],[39.971741,-83.0046531]]]"
"WMEEJ3BA0DK694811",1448321401,1448322301,2700,"0101000020E6100000AA4885B185004440D8648D7A88C054C0","0101000020E6100000B9A5D590B8FF43400CCD751A69C154C0",81,81,"GOOD","GOOD",14526,"1.1 mi","7 mins","[[[39.9978168,-83.02205649999999],[39.9979285,-83.0220937]],[[39.9979285,-83.0220937],[39.9979101,-83.0222733]],[[39.9979101,-83.0222733],[40.00416,-83.01967499999999]],[[40.00416,-83.01967499999999],[40.00412,-83.01740579999999]],[[40.00412,-83.01740579999999],[40.0037277,-83.00884429999999]],[[40.0037277,-83.00884429999999],[40.0040792,-83.0088931]],[[40.0040792,-83.0088931],[40.00406,-83.0083312]]]"
"WMEEJ3BA0EK737593",1448395201,1448398801,2100,"0101000020E6100000BB7EC16ED8FE4340F2B5679604C254C0","0101000020E610000041F163CC5DFB4340320395F1EFBF54C0",57,57,"GOOD","GOOD",15010,"4.3 mi","10 mins","[[[39.9638095,-82.9990219],[39.9640844,-82.99650419999999]],[[39.9640844,-82.99650419999999],[39.9761217,-82.9980789]],[[39.9761217,-82.9980789],[39.973582,-83.0119737]],[[39.973582,-83.0119737],[39.9907695,-83.02512779999999]],[[39.9907695,-83.02512779999999],[39.9922003,-83.0208639]],[[39.9922003,-83.0208639],[39.9907085,-83.0205282]],[[39.9907085,-83.0205282],[39.991131,-83.0314983]],[[39.991131,-83.0314983],[39.9909792,-83.03150760000001]]]"
"WMEEJ3BA0EK737593",1448457601,1448459101,45600,"0101000020E61000000C022B8716F943408599B67F65BF54C0","0101000020E6100000747B4963B4FA43404E2844C021C054C0",51,51,"GOOD","GOOD",15014,"1.7 mi","8 mins","[[[39.9585614,-83.00204699999999],[39.9588042,-83.00001069999999]],[[39.9588042,-83.00001069999999],[39.9438492,-82.99707219999999]],[[39.9438492,-82.99707219999999],[39.944567,-82.9900143]],[[39.944567,-82.9900143],[39.9459714,-82.9898936]],[[39.9459714,-82.9898936],[39.9460057,-82.99056949999999]]]"
"WMEEJ3BA0EK737593",1448401801,1448404501,3000,"0101000020E610000041F163CC5DFB4340320395F1EFBF54C0","0101000020E61000000C022B8716F9434013F241CF66BF54C0",57,54,"GOOD","GOOD",15011,"2.0 mi","10 mins","[[[39.9460101,-82.9906491],[39.9459714,-82.9898936]],[[39.9459714,-82.9898936],[39.944567,-82.9900143]],[[39.944567,-82.9900143],[39.9438492,-82.99707219999999]],[[39.9438492,-82.99707219999999],[39.963576,-83.00090589999999]],[[39.963576,-83.00090589999999],[39.9638095,-82.9990219]]]"
"WMEEJ3BA0EK748755",1448382601,1448384101,6600,"0101000020E6100000448B6CE7FBFD43401973D712F2BF54C0","0101000020E6100000FB3A70CE88FA43409609BFD4CFBF54C0",69,66,"GOOD","GOOD",15107,"2.1 mi","7 mins","[[[39.9573126,-82.996955],[39.9564674,-82.99679809999999]],[[39.9564674,-82.99679809999999],[39.9566708,-82.9950669]],[[39.9566708,-82.9950669],[39.9842608,-82.9990521]]]"
"WMEEJ3BA0DK694811",1448297101,1448298601,6000,"0101000020E6100000A4A5F27684FB4340569FABADD8BF54C0","0101000020E6100000861BF0F961FC4340DFF8DA334BC054C0",87,87,"GOOD","GOOD",14522,"0.8 mi","5 mins","[[[39.971741,-83.0046531],[39.9714958,-83.0046337]],[[39.9714958,-83.0046337],[39.968813,-83.00374049999999]],[[39.968813,-83.00374049999999],[39.96900189999999,-83.0022534]],[[39.96900189999999,-83.0022534],[39.9676038,-83.0016778]],[[39.9676038,-83.0016778],[39.9679165,-82.9990011]],[[39.9679165,-82.9990011],[39.9652471,-82.998498]],[[39.9652471,-82.998498],[39.9653336,-82.9976302]],[[39.9653336,-82.9976302],[39.9649844,-82.99755929999999]]]"
"WMEEJ3BA0EK738260",1448299201,1448301001,12000,"0101000020E6100000F9BD4D7FF6FB4340BC22F8DF4AC054C0","0101000020E6100000642310AFEBFB4340382D78D157C054C0",100,100,"GOOD","GOOD",15051,"0.1 mi","1 min","[[[39.9681267,-83.0053851],[39.9678773,-83.0053259]],[[39.9678773,-83.0053259],[39.9679642,-83.00458010000001]],[[39.9679642,-83.00458010000001],[39.9684675,-83.0045152]]]"
"WMEEJ3BA0EK748755",1448466901,1448467201,2400,"0101000020E61000002C6519E258FB43408BA6B393C1BF54C0","0101000020E6100000DE54A4C2D8FA434099F04BFDBCBF54C0",63,63,"GOOD","GOOD",15117,"0.3 mi","1 min","[[[39.9597696,-82.9956612],[39.9636258,-82.996423]]]"
"WMEEJ3BA0EK737304",1448274601,1448275501,36900,"0101000020E6100000DBC4C9FD0EFD4340747B4963B4C054C0","0101000020E61000003F575BB1BFFC4340B5FD2B2B4DC054C0",96,96,"GOOD","GOOD",15004,"0.6 mi","3 mins","[[[39.9746071,-83.0046509],[39.97362820000001,-83.0045279]],[[39.97362820000001,-83.0045279],[39.9738987,-83.0103614]],[[39.9738987,-83.0103614],[39.9770206,-83.0110052]]]"
"WMEEJ3BA0EK748755",1448320501,1448320801,5400,"0101000020E61000009C8A54185BFC4340401878EE3DC054C0","0101000020E61000002AE3DF675CFC4340A054FB743CC054C0",78,78,"GOOD","GOOD",15104,"0.3 mi","4 mins","[[[39.9714656,-83.0036725],[39.9715239,-83.0030879]],[[39.9715239,-83.0030879],[39.9722819,-83.0032656]],[[39.9722819,-83.0032656],[39.9723478,-83.0046172]],[[39.9723478,-83.0046172],[39.9714958,-83.0046337]],[[39.9714958,-83.0046337],[39.97145829999999,-83.00378040000001]]]"
"WMEEJ3BA0EK748755",1448464201,1448464501,3900,"0101000020E61000006DAD2F12DAFA4340AB5B3D27BDBF54C0","0101000020E61000002C6519E258FB43408BA6B393C1BF54C0",63,63,"GOOD","GOOD",15116,"0.5 mi","4 mins","[[[39.9636258,-82.996423],[39.9640844,-82.99650419999999]],[[39.9640844,-82.99650419999999],[39.9639433,-82.9982486]],[[39.9639433,-82.9982486],[39.95979,-82.997419]],[[39.95979,-82.997419],[39.9599509,-82.9959511]]]"
"WMEEJ3BA0DK694811",1448289901,1448291101,46500,"0101000020E61000008716D9CEF7F7434077DB85E63ABF54C0","0101000020E6100000A4A5F27684FB4340569FABADD8BF54C0",90,87,"GOOD","GOOD",14521,"2.5 mi","11 mins","[[[39.9649844,-82.99755929999999],[39.9646736,-82.9975019]],[[39.9646736,-82.9975019],[39.96458,-82.998376]],[[39.96458,-82.998376],[39.9537851,-82.9962759]],[[39.9537851,-82.9962759],[39.9534661,-82.998944]],[[39.9534661,-82.998944],[39.939653,-82.9962565]],[[39.939653,-82.9962565],[39.9394847,-82.98777410000001]],[[39.9394847,-82.98777410000001],[39.9372504,-82.98797619999999]]]"
"WMEEJ3BA0EK737593",1448391901,1448393101,154200,"0101000020E610000003098A1F63024440EB39E97DE3C154C0","0101000020E6100000BB7EC16ED8FE4340F2B5679604C254C0",57,57,"GOOD","GOOD",15009,"2.6 mi","6 mins","[[[39.9909792,-83.03150760000001],[39.991131,-83.0314983]],[[39.991131,-83.0314983],[39.9908647,-83.025956]],[[39.9908647,-83.025956],[39.99484349999999,-83.02536099999999]],[[39.99484349999999,-83.02536099999999],[40.01480670000001,-83.0327252]],[[40.01480670000001,-83.0327252],[40.0181531,-83.03309130000001]],[[40.0181531,-83.03309130000001],[40.0183537,-83.0293275]],[[40.0183537,-83.0293275],[40.0186929,-83.0292741]],[[40.0186929,-83.0292741],[40.0187558,-83.02946]]]"
"WMEEJ3BA0EK748755",1448424001,1448424301,2700,"0101000020E6100000FA27B85851FB4340C1ADBB79AABF54C0","0101000020E6100000C286A757CAFA4340BDA94885B1BF54C0",63,63,"GOOD","GOOD",15112,"0.4 mi","2 mins","[[[39.9593585,-82.99522170000002],[39.9593175,-82.9955698]],[[39.9593175,-82.9955698],[39.96272099999999,-82.996245]],[[39.96272099999999,-82.996245],[39.9629631,-82.99437259999999]],[[39.9629631,-82.99437259999999],[39.96345609999999,-82.99449039999999]]]"
"WMEEJ3BA0EK748755",1448427601,1448427901,0,"0101000020E61000009FCDAACFD5FA434068B3EA73B5BF54C0","0101000020E61000002D26361FD7FA434019E25817B7BF54C0",63,63,"GOOD","GOOD",15114,"0.5 mi","3 mins","[[[39.959679,-82.99564289999999],[39.9599774,-82.9957032]],[[39.9599774,-82.9957032],[39.9604091,-82.9921126]],[[39.9604091,-82.9921126],[39.9597256,-82.99198559999999]],[[39.9597256,-82.99198559999999],[39.9593175,-82.9955698]],[[39.9593175,-82.9955698],[39.9596283,-82.9956326]]]"
"WMEEJ3BA0EK748755",1448421001,1448421301,10200,"0101000020E610000074D2FBC6D7FA4340B28009DCBABF54C0","0101000020E6100000FA27B85851FB4340C1ADBB79AABF54C0",63,63,"GOOD","GOOD",15111,"0.6 mi","4 mins","[[[39.96345609999999,-82.99449039999999],[39.9629631,-82.99437259999999]],[[39.9629631,-82.99437259999999],[39.9625243,-82.9979602]],[[39.9625243,-82.9979602],[39.959116,-82.99731589999999]],[[39.959116,-82.99731589999999],[39.9593175,-82.9955698]],[[39.9593175,-82.9955698],[39.9597252,-82.9956522]]]"
"WMEEJ3BA0EK748755",1448427301,1448427601,3000,"0101000020E6100000C286A757CAFA4340BDA94885B1BF54C0","0101000020E61000009FCDAACFD5FA434068B3EA73B5BF54C0",63,63,"GOOD","GOOD",15113,"0.4 mi","3 mins","[[[39.9596283,-82.9956326],[39.9599774,-82.9957032]],[[39.9599774,-82.9957032],[39.9604091,-82.9921126]],[[39.9604091,-82.9921126],[39.9597256,-82.99198559999999]],[[39.9597256,-82.99198559999999],[39.9593585,-82.99522170000002]]]"
"WMEEJ3BA0EK752725",1448459101,1448460301,64200,"0101000020E6100000BCB376DB85FE4340D200DE0209C054C0","0101000020E6100000E8305F5E80FD4340240B98C0ADBF54C0",100,100,"GOOD","GOOD",15152,"0.8 mi","3 mins","[[[39.9805213,-82.9949769],[39.9806579,-82.9983479]],[[39.9806579,-82.9983479],[39.9868703,-82.999566]],[[39.9868703,-82.999566],[39.9869238,-83.00082859999999]],[[39.9869238,-83.00082859999999],[39.9884324,-83.0007471]],[[39.9884324,-83.0007471],[39.9884291,-83.0005509]]]"
"WMEEJ3BA0EK752725",1448378701,1448379301,141000,"0101000020E6100000328FFCC1C0FF4340465F419AB1C254C0","0101000020E61000008D45D3D9C90044405EF415A419C154C0",100,100,"GOOD","GOOD",15148,"1.8 mi","7 mins","[[[40.0061137,-83.0171988],[40.0056849,-83.0171722]],[[40.0056849,-83.0171722],[40.0056725,-83.0168542]],[[40.0056725,-83.0168542],[40.00412,-83.01740579999999]],[[40.00412,-83.01740579999999],[40.0033839,-83.0343214]],[[40.0033839,-83.0343214],[39.9978139,-83.0347889]],[[39.9978139,-83.0347889],[39.9981496,-83.0420855]]]"
"WMEEJ3BA0EK734712",1448303101,1448305201,65400,"0101000020E6100000711B0DE02D0044409F02603C83BA54C0","0101000020E610000030F0DC7BB8FC4340906B43C538C154C0",66,66,"GOOD","GOOD",14988,"7.3 mi","10 mins","[[[39.9741959,-83.0190985],[39.9735543,-83.01638729999999]],[[39.9735543,-83.01638729999999],[39.9714361,-83.0095585]],[[39.9714361,-83.0095585],[39.9725255,-83.0093854]],[[39.9725255,-83.0093854],[39.9725824,-83.00910329999999]],[[39.9725824,-83.00910329999999],[39.9733262,-83.0049039]],[[39.9733262,-83.0049039],[39.9729261,-82.99242869999999]],[[39.9729261,-82.99242869999999],[39.9946343,-82.9335862]],[[39.9946343,-82.9335862],[39.9979658,-82.9264112]],[[39.9979658,-82.9264112],[40.0058581,-82.91253379999999]],[[40.0058581,-82.91253379999999],[40.0013226,-82.9128925]]]"
